state,race,year,count,population,crude_rate_100k
District of Columbia,Asian or Pacific Islander,2000,0,3062,0
Florida,American Indian or Alaska Native,2000,0,20027,0
Florida,Black or African American,2000,133,917971,14.490000000000002
Florida,White,2000,566,3031459,18.669999999999998
Georgia,Black or African American,2000,84,855670,9.82
Georgia,White,2000,278,1501567,18.51
Hawaii,American Indian or Alaska Native,2000,0,1127,0
Hawaii,Asian or Pacific Islander,2000,27,259183,10.420000000000002
Hawaii,Black or African American,2000,0,11364,0
Idaho,Asian or Pacific Islander,2000,0,4743,0
Idaho,Black or African American,2000,0,3622,0
Idaho,White,2000,61,398943,15.290000000000001
Illinois,Black or African American,2000,77,702616,10.96
Illinois,White,2000,448,2759098,16.240000000000002
Indiana,American Indian or Alaska Native,2000,0,6306,0
Indiana,Black or African American,2000,19,198718,9.56
Indiana,White,2000,254,1539489,16.5
Iowa,American Indian or Alaska Native,2000,0,4218,0
Iowa,Asian or Pacific Islander,2000,0,13484,0
Iowa,White,2000,142,779282,18.22
Kansas,White,2000,101,705516,14.32
Kentucky,American Indian or Alaska Native,2000,0,2671,0
Kentucky,Asian or Pacific Islander,2000,0,9862,0
Kentucky,Black or African American,2000,16,108333,14.77
Kentucky,White,2000,174,993278,17.52
Louisiana,American Indian or Alaska Native,2000,0,10245,0
Louisiana,Black or African American,2000,50,550721,9.08
Louisiana,White,2000,137,786130,17.430000000000003
Maine,American Indian or Alaska Native,2000,0,3046,0
Maine,Asian or Pacific Islander,2000,0,3672,0
Maine,White,2000,48,324734,14.780000000000001
Maryland,Asian or Pacific Islander,2000,16,64379,24.85
Maryland,Black or African American,2000,59,504123,11.700000000000001
Maryland,White,2000,141,919114,15.340000000000002
Massachusetts,American Indian or Alaska Native,2000,0,7372,0
Massachusetts,Black or African American,2000,22,155998,14.100000000000001
Massachusetts,White,2000,246,1434063,17.150000000000002
Michigan,Black or African American,2000,63,530243,11.88
Michigan,White,2000,415,2264865,18.32
Minnesota,White,2000,231,1258767,18.35
Missouri,Black or African American,2000,29,240192,12.07
Missouri,White,2000,223,1323788,16.85
Montana,Asian or Pacific Islander,2000,0,1906,0
Montana,Black or African American,2000,0,1992,0
Montana,White,2000,54,227373,23.75
Nebraska,White,2000,68,458025,14.850000000000001
Nevada,White,2000,82,469777,17.46
New Hampshire,American Indian or Alaska Native,2000,0,1209,0
New Hampshire,Asian or Pacific Islander,2000,0,5372,0
New Hampshire,Black or African American,2000,0,4659,0
New Hampshire,White,2000,54,333762,16.180000000000003
New Jersey,American Indian or Alaska Native,2000,0,9597,0
New Jersey,Asian or Pacific Islander,2000,33,149992,22
New Jersey,Black or African American,2000,42,417083,10.07
New Jersey,White,2000,335,1708740,19.61
New Mexico,Asian or Pacific Islander,2000,0,7729,0
New Mexico,Black or African American,2000,0,16711,0
New Mexico,White,2000,77,463368,16.62
New York,Asian or Pacific Islander,2000,37,308788,11.98
New York,Black or African American,2000,140,1158804,12.08
New York,White,2000,703,3695438,19.02
North Carolina,Black or African American,2000,72,599208,12.020000000000001
North Carolina,White,2000,257,1518578,16.919999999999998
North Dakota,Asian or Pacific Islander,2000,0,1327,0
North Dakota,Black or African American,2000,0,2308,0
North Dakota,White,2000,22,164506,13.37
Ohio,American Indian or Alaska Native,2000,0,10022,0
Ohio,Black or African American,2000,53,494505,10.72
Ohio,White,2000,414,2667477,15.52
Oklahoma,American Indian or Alaska Native,2000,21,126837,16.56
Oklahoma,White,2000,121,751507,16.1
Oregon,White,2000,136,858250,15.850000000000001
Pennsylvania,American Indian or Alaska Native,2000,0,7781,0
Pennsylvania,Asian or Pacific Islander,2000,24,72621,33.050000000000004
Pennsylvania,Black or African American,2000,65,456656,14.230000000000002
Pennsylvania,White,2000,456,2730146,16.7
Rhode Island,Asian or Pacific Islander,2000,0,10022,0
Rhode Island,White,2000,56,243991,22.950000000000003
South Carolina,American Indian or Alaska Native,2000,0,4968,0
South Carolina,Black or African American,2000,46,421973,10.9
South Carolina,White,2000,110,698593,15.75
Tennessee,American Indian or Alaska Native,2000,0,4803,0
Tennessee,Black or African American,2000,31,340498,9.1
Tennessee,White,2000,179,1197741,14.940000000000001
Texas,Asian or Pacific Islander,2000,25,190878,13.100000000000001
Texas,Black or African American,2000,109,881565,12.36
Texas,White,2000,992,5442151,18.23
Utah,Black or African American,2000,0,10787,0
Utah,White,2000,141,766953,18.380000000000003
Vermont,American Indian or Alaska Native,2000,0,985,0
Vermont,Asian or Pacific Islander,2000,0,1999,0
Vermont,Black or African American,2000,0,1971,0
Vermont,White,2000,25,161358,15.490000000000002
Virginia,American Indian or Alaska Native,2000,0,7562,0
Virginia,Asian or Pacific Islander,2000,18,81806,22
Virginia,Black or African American,2000,41,479159,8.56
Virginia,White,2000,230,1371727,16.77
Washington,White,2000,248,1435097,17.28
West Virginia,American Indian or Alaska Native,2000,0,954,0
